INSTRUMENT2,2014-11-03T00:00:00.000Z,9.248039
INSTRUMENT2,2014-11-04T00:00:00.000Z,9.246394
INSTRUMENT2,2014-11-05T00:00:00.000Z,9.265366
INSTRUMENT2,2014-11-06T00:00:00.000Z,9.264891
INSTRUMENT2,2014-11-07T00:00:00.000Z,9.259555
INSTRUMENT2,2014-11-10T00:00:00.000Z,9.257006
INSTRUMENT2,2014-11-11T00:00:00.000Z,9.256939
INSTRUMENT2,2014-11-12T00:00:00.000Z,9.244623
INSTRUMENT2,2014-11-13T00:00:00.000Z,9.244164
INSTRUMENT2,2014-11-14T00:00:00.000Z,9.249228
INSTRUMENT2,2014-11-17T00:00:00.000Z,9.248172
INSTRUMENT2,2014-11-18T00:00:00.000Z,9.246132
INSTRUMENT2,2014-11-19T00:00:00.000Z,9.259958
INSTRUMENT2,2014-11-20T00:00:00.000Z,9.259555
INSTRUMENT2,2014-11-21T00:00:00.000Z,9.249623
INSTRUMENT2,2014-11-24T00:00:00.000Z,9.259218
INSTRUMENT2,2014-11-25T00:00:00.000Z,9.273021
INSTRUMENT2,2014-11-26T00:00:00.000Z,9.273985
INSTRUMENT2,2014-11-27T00:00:00.000Z,9.269659
INSTRUMENT2,2014-11-28T00:00:00.000Z,9.2756405
